"","rank","title","Previous.Rank","Revenues...M.","Revenue.Change","Profits...M.","Profit.Change","Assets...M.","Mkt.Value.as.of.3.29.18...M.","Employees","CEO","CEO.Title","Sector","Industry","Years.on.Fortune.500.List","City","State","Latitude","Longitude","CEO.gender","ticker"
"135",135,"PBF Energy","172","$21,787 ","36.80%","$415.50 ","143.30%","$8,118 ","$3,752 ","3,165","Thomas Nimbley","Chairman &  Chief Executive Officer","Energy","Petroleum Refining","6","Parsippany-Troy Hills","NJ",40.8652865,-74.4173877,"male","PBF"
"136",136,"Icahn Enterprises","168","$21,744 ","33.00%","$2,430.00 ","-","$31,801 ","$9,901 ","89,034","Keith Cozza","President, Chief Executive Officer &  Director","Financials","Diversified Financials","10","New York","NY",40.7127753,-74.0059728,"male","IEP"
"137",137,"Aflac","126","$21,667 ","-4.00%","$4,604.00 ","73.10%","$137,217 ","$34,038 ","11,318","Daniel Amos","Chairman, President &  Chief Executive Officer","Financials","Insurance: Life, Health (stock)","24","Columbus","GA",32.4609764,-84.9877094,"male","AFL"
"138",138,"AutoNation","129","$21,535 ","-0.30%","$434.60 ","1.00%","$10,272 ","$4,296 ","26,000","Michael Jackson","Chairman, President &  Chief Executive Officer","Retailing","Automotive Retailing, Services","21","Fort Lauderdale","FL",26.1224386,-80.1373174,"male","BRKS"
"139",139,"Penske Automotive Group","142","$21,389 ","6.20%","$613.30 ","78.90%","$10,541 ","$3,817 ","26,000","Roger Penske","Chairman &  Chief Executive Officer","Retailing","Automotive Retailing, Services","20","Bloomfield Hills","MI",42.583645,-83.2454883,"male","PAG"
"140",140,"Whirlpool","137","$21,253 ","2.60%","$350.00 ","-60.60%","$20,038 ","$10,824 ","92,000","Marc Bitzer","President, Chief Executive Officer &  Director","Industrials","Electronics, Electrical Equip.","24","Benton Harbor","MI",42.1167065,-86.4541894,"male","WHR"
"141",141,"Union Pacific","143","$21,240 ","6.50%","$10,712.00 ","153.10%","$57,806 ","$104,261 ","41,992","Lance Fritz","Chairman, President &  Chief Executive Officer","Transportation","Railroads","24","Omaha","NE",41.2565369,-95.9345034,"male","UNP"
"142",142,"Southwest Airlines","138","$21,171 ","3.70%","$3,488.00 ","55.40%","$25,110 ","$33,678 ","56,110","Gary Kelly","Chairman &  Chief Executive Officer","Transportation","Airlines","24","Dallas","TX",32.7766642,-96.7969879,"male","LUV"
"143",143,"ManpowerGroup","146","$21,034 ","7.00%","$545.40 ","22.90%","$8,884 ","$7,614 ","29,000","Jonas Prising","Chairman &  Chief Executive Officer","Business Services","Temporary Help","24","Milwaukee","WI",43.0389025,-87.9064736,"male","MAN"
"144",144,"Thermo Fisher Scientific","154","$20,918 ","14.50%","$2,225.00 ","10.10%","$56,669 ","$82,952 ","66,100","Marc Casper","President, Chief Executive Officer &  Director","Technology","Scientific,Photographic and  Control Equipment","16","Waltham","MA",42.3764852,-71.2356113,"male","TMO"
"145",145,"Bristol-Myers Squibb","147","$20,776 ","6.90%","$1,007.00 ","-77.40%","$33,551 ","$103,415 ","23,700","Giovanni Caforio","Chairman &  Chief Executive Officer","Health Care","Pharmaceuticals","24","New York","NY",40.7127753,-74.0059728,"male","BMY"
"146",146,"Halliburton","173","$20,620 ","29.80%","($463.00)","-","$25,085 ","$41,068 ","55,000","Jeffrey Miller","President, Chief Executive Officer &  Director","Energy","Oil and Gas Equipment, Services","24","Houston","TX",29.7604267,-95.3698028,"male","HAL"
"147",147,"Tenet Healthcare","134","$20,613 ","-2.20%","($704.00)","-","$23,385 ","$2,452 ","111,980","Ronald Rittenmeyer","Chairman &  Chief Executive Officer","Health Care","Health Care: Medical Facilities","24","Dallas","TX",32.7766642,-96.7969879,"male","THC"
"148",148,"Lear","151","$20,467 ","10.30%","$1,313.40 ","34.70%","$11,946 ","$12,453 ","165,000","Raymond Scott","President, Chief Executive Officer &  Director","Motor Vehicles &  Parts","Motor Vehicles and Parts","24","Southfield","MI",42.4733688,-83.2218731,"male","ACMR"
"149",149,"Cummins","159","$20,428 ","16.70%","$999.00 ","-28.30%","$18,075 ","$26,757 ","58,600","Thomas Linebarger","Chairman &  Chief Executive Officer","Industrials","Industrial Machinery","24","Columbus","IN",39.2014404,-85.9213796,"male","CMI"
"150",150,"Micron Technology","226","$20,322 ","63.90%","$5,089.00 ","-","$35,336 ","$60,470 ","34,100","Sanjay Mehrotra","President, Chief Executive Officer &  Director","Technology","Semiconductors and Other Electronic Components","21","Boise","ID",43.6150186,-116.2023137,"male","MU"
"151",151,"Nucor","169","$20,252 ","25.00%","$1,318.70 ","65.60%","$15,841 ","$19,432 ","25,100","John Ferriola","Chairman, President &  Chief Executive Officer","Materials","Metals","24","Charlotte","NC",35.2270869,-80.8431267,"male","BCOR"
"152",152,"Molina Healthcare","156","$19,883 ","11.80%","($512.00)","-1084.60%","$8,471 ","$4,867 ","20,000","Joseph Zubretsky","President, Chief Executive Officer &  Director","Health Care","Health Care: Insurance and Managed Care","7","Long Beach","CA",33.7700504,-118.1937395,"male","MOH"
"153",153,"Fluor","149","$19,521 ","2.50%","$191.40 ","-32.00%","$9,328 ","$8,006 ","56,706","David Seaton","Chairman &  Chief Executive Officer","Engineering &  Construction","Engineering, Construction","17","Irving","TX",32.8140177,-96.9488945,"male","VFL"
"154",154,"Altria Group","148","$19,494 ","0.80%","$10,222.00 ","-28.20%","$43,202 ","$118,436 ","8,300","Howard Willard III","Chairman &  Chief Executive Officer","Food, Beverages &  Tobacco","Tobacco","24","Richmond","VA",37.5407246,-77.4360481,"male","MO"
"155",155,"Paccar","164","$19,456 ","14.20%","$1,675.20 ","221.10%","$23,440 ","$23,298 ","25,000","Ronald Armstrong","Chairman &  Chief Executive Officer","Industrials","Construction and Farm Machinery","24","Bellevue","WA",47.6101497,-122.2015159,"male","HPE"
"156",156,"Hartford Financial Services","153","$19,228 ","5.10%","($3,131.00)","-449.40%","$225,260 ","$18,392 ","16,400","Christopher Swift","Chairman &  Chief Executive Officer","Financials","Insurance: Property and Casualty (Stock)","23","Hartford","CT",41.7658043,-72.6733723,"male","HGH"
"157",157,"Kohls","150","$19,095 ","2.20%","$859.00 ","54.50%","$13,340 ","$11,021 ","85,000","Michelle Gass","Chairman &  Chief Executive Officer","Retailing","General Merchandisers","21","Menomonee Falls","WI",43.1788967,-88.1173132,"female","KSS"
"158",158,"Western Digital","217","$19,093 ","46.90%","$397.00 ","64.00%","$29,860 ","$27,456 ","67,629","Stephen Milligan","Chairman &  Chief Executive Officer","Technology","Computers, Office Equipment","15","San Jose","CA",37.3382082,-121.8863286,"male","WDC"
"159",159,"Jabil","152","$19,063.10 ","3.90%","$129.10 ","-49.20%","$11,096 ","$5,035 ","170000","Mark Mondello","Chairman &  Chief Executive Officer","Technology","Semiconductors and Other Electronic Components","17","St. Petersburg","FL",27.7676008,-82.6402915,"male","JBL"
"160",160,"Community Health Systems","130","$18,477 ","-13.60%","($2,459.00)","-","$17,450 ","$454 ","86,000","Wayne Smith","Chairman &  Chief Executive Officer","Health Care","Health Care: Medical Facilities","12","Franklin","TN",35.9250637,-86.8688899,"male","CHCT"
